scenario,stat_value,wave,Fp1,Fpz,Fp2,F7,F3,Fz,F4,F8,FC5,FC1,FC2,FC6,T7,C3,Cz,C4,T8,CP5,CP1,CP2,CP6,P7,P3,Pz,P4,P8,POz,O1,Oz,O2
easy,p,delta,0.4839064,0.47244677,0.61817425,0.84754807,0.37714234,0.58717835,0.38263816,0.4144753,0.39524224,0.046766564,0.28767636,0.39739248,0.71447504,0.15842068,0.684585,0.22143562,0.93118834,0.50359774,0.7647486,0.81237245,0.72757405,0.20605794,0.9005665,0.7728199,0.8872391,0.9252414,0.6939124,0.26008433,0.8916521,0.40018335
easy,p,theta,0.95109123,0.9426436,0.8954829,0.27184808,0.5993863,0.4186574,0.79571176,0.5090871,0.6950067,0.4650769,0.69428414,0.850817,0.5686792,0.6577466,0.48301408,0.66111535,0.613465,0.6825376,0.4837467,0.416965,0.3100428,0.059838966,0.35765323,0.53140426,0.13594957,0.4047786,0.24500601,0.019190459,0.10697081,0.053748053
easy,p,alpha,0.50420064,0.7332447,0.68859434,0.2270885,0.2629384,0.28109393,0.2611059,0.8723389,0.17312543,0.26587388,0.3560123,0.28970227,0.22044708,0.2843516,0.48856327,0.44488093,0.3024898,0.20906046,0.4811779,0.56301147,0.4101224,0.13019295,0.51200306,0.7286354,0.68348193,0.39984477,0.46305528,0.023998346,0.09948534,0.15331373
easy,p,beta,0.2549723,0.20250258,0.1667333,0.4568037,0.19505765,0.1207939,0.20427832,0.76729584,0.30746332,0.17817728,0.20062949,0.1897229,0.5063078,0.31285095,0.20381081,0.39492,0.5734691,0.73647994,0.21381353,0.24188533,0.706594,0.011794088,0.19098316,0.3888624,0.20872664,0.21871798,0.07876749,0.014050011,0.0655369,0.07985616
easy,p,gamma,0.2549723,0.20250258,0.1667333,0.4568037,0.19505765,0.1207939,0.20427832,0.76729584,0.30746332,0.17817728,0.20062949,0.1897229,0.5063078,0.31285095,0.20381081,0.39492,0.5734691,0.73647994,0.21381353,0.24188533,0.706594,0.011794088,0.19098316,0.3888624,0.20872664,0.21871798,0.07876749,0.014050011,0.0655369,0.07985616
easy,t,delta,-0.7223719,-0.7418535,-0.5116588,0.19644688,-0.9171227,-0.5578878,-0.9062539,-0.8453092,-0.88172805,2.2160828,-1.1125902,-0.8775977,0.37462622,-1.5040656,-0.41623616,-1.289764,-0.08817968,0.68954337,0.30613434,-0.24265248,-0.35661206,1.3368689,0.127616,0.29528916,0.14484307,-0.095824756,-0.40317225,1.1820385,0.13913393,0.8722594
easy,t,theta,0.0626313,-0.073468685,-0.13418192,1.151766,0.53953516,0.8375411,0.26472738,-0.68052953,0.40164435,0.75453776,0.4026531,0.19217741,0.58608407,0.45426315,0.72387856,0.44945267,0.51860565,0.4191138,0.7226414,0.84067833,1.059935,2.077958,0.9565828,0.64445907,1.5983422,0.8635244,1.2224479,2.7033389,1.7424661,2.1383595
easy,t,alpha,0.68855053,0.34885225,0.41061157,1.2731142,1.1745976,1.1286762,1.1793679,0.16415854,1.4484035,1.1670098,0.95997393,1.1076959,1.2927108,1.1206797,0.7145362,0.7899608,1.077387,1.3274516,0.7269844,0.59482086,0.8534503,1.6246611,0.67576474,0.35515803,0.41778606,0.8729057,0.7580391,2.5822444,1.7853255,1.5244296
easy,t,beta,1.1955273,1.3481667,1.4720868,0.76892805,1.3723636,1.6699101,1.3425038,-0.30270755,1.065859,1.4302026,1.3541845,1.3901763,0.6850861,1.0535274,1.3439908,0.88234836,0.578737,0.34443527,1.3127671,1.2310551,0.3855271,2.9657443,1.3859311,0.894074,1.328493,1.297891,1.9212648,2.8715234,2.0264492,1.9133514
easy,t,gamma,1.1955273,1.3481667,1.4720868,0.76892805,1.3723636,1.6699101,1.3425038,-0.30270755,1.065859,1.4302026,1.3541845,1.3901763,0.6850861,1.0535274,1.3439908,0.88234836,0.578737,0.34443527,1.3127671,1.2310551,0.3855271,2.9657443,1.3859311,0.894074,1.328493,1.297891,1.9212648,2.8715234,2.0264492,1.9133514
